"store_id","date","weekly_sales","non_promo_median"
1,"2010-12-31","8266.14","10217.98"
1,"2011-11-11","9959.64","10217.98"
1,"2011-11-18","10104.36","10217.98"
1,"2011-11-25","9317.56","10217.98"
1,"2011-12-02","10146.54","10217.98"
1,"2011-12-30","8848.44","10217.98"
1,"2012-03-16","8845.73","10217.98"
1,"2012-03-23","7910.22","10217.98"
1,"2012-03-30","9129.23","10217.98"
1,"2012-04-06","9335.24","10217.98"
1,"2012-04-13","7927.73","10217.98"
1,"2012-04-20","8647.36","10217.98"
1,"2012-04-27","8635.62","10217.98"
1,"2012-05-18","8609.82","10217.98"
1,"2012-05-25","8345.33","10217.98"
1,"2012-06-01","7175.77","10217.98"
1,"2012-06-08","8614.64","10217.98"
1,"2012-06-15","8016.26","10217.98"
1,"2012-06-22","7301.41","10217.98"
1,"2012-06-29","7577.59","10217.98"
1,"2012-07-06","8473.71","10217.98"
1,"2012-10-19","8548.87","10217.98"
1,"2012-10-26","9350.9","10217.98"
1,"2010-02-12","9135","10217.98"
1,"2010-09-10","4432.69","10217.98"
1,"2010-12-31","5878.25","10217.98"
1,"2011-02-11","4542.8","10217.98"
1,"2011-09-09","6147.43","10217.98"
1,"2011-11-11","3527.62","10217.98"
1,"2011-11-18","2640.98","10217.98"
1,"2011-12-02","5240.63","10217.98"
1,"2011-12-09","6714.41","10217.98"
1,"2011-12-16","10022.4","10217.98"
1,"2011-12-30","6629.6","10217.98"
1,"2012-01-06","3665.25","10217.98"
1,"2012-01-13","2460.92","10217.98"
1,"2012-01-20","2427.46","10217.98"
1,"2012-01-27","1649.4","10217.98"
1,"2012-02-03","3981.09","10217.98"
1,"2012-02-10","7338.85","10217.98"
1,"2012-02-17","4223.42","10217.98"
1,"2012-02-24","3784.06","10217.98"
1,"2012-03-02","6464.52","10217.98"
1,"2012-03-09","4183.3","10217.98"
1,"2012-03-16","3905.72","10217.98"
1,"2012-03-23","2856.83","10217.98"
1,"2012-03-30","4540.27","10217.98"
1,"2012-04-06","4764.43","10217.98"
1,"2012-04-13","4500.12","10217.98"
1,"2012-04-20","2988.96","10217.98"
1,"2012-04-27","3319.32","10217.98"
1,"2012-05-04","4658.18","10217.98"
1,"2012-05-11","3574.83","10217.98"
1,"2012-05-18","6030.81","10217.98"
1,"2012-05-25","5131.26","10217.98"
1,"2012-06-01","3249.75","10217.98"
1,"2012-06-08","4888.46","10217.98"
1,"2012-06-15","4087.58","10217.98"
1,"2012-06-22","4870.31","10217.98"
1,"2012-06-29","4774.5","10217.98"
1,"2012-07-06","2828.03","10217.98"
1,"2012-07-13","2776.97","10217.98"
1,"2012-07-20","3496.53","10217.98"
1,"2012-07-27","2545.65","10217.98"
1,"2012-08-03","3412.58","10217.98"
1,"2012-08-10","-139.65","10217.98"
1,"2012-08-17","2725.3","10217.98"
1,"2012-08-24","2626.5","10217.98"
1,"2012-08-31","2987.07","10217.98"
1,"2012-09-07","2576.64","10217.98"
1,"2012-09-14","3073.31","10217.98"
1,"2012-09-21","4159.51","10217.98"
1,"2012-09-28","3168.68","10217.98"
1,"2012-10-05","3843.29","10217.98"
1,"2012-10-12","3788.59","10217.98"
1,"2012-10-19","3496.69","10217.98"
1,"2012-10-26","4032.5","10217.98"
1,"2012-01-13","9194.61","10217.98"
1,"2012-01-20","10189.61","10217.98"
1,"2010-02-12","8654.07","10217.98"
1,"2010-11-26","9619.81","10217.98"
1,"2010-12-31","6912.95","10217.98"
1,"2011-02-11","7642.11","10217.98"
1,"2011-11-11","10216.64","10217.98"
1,"2011-11-18","9872.05","10217.98"
1,"2011-11-25","7816.44","10217.98"
1,"2011-12-02","7587.6","10217.98"
1,"2011-12-09","8014.5","10217.98"
1,"2011-12-16","7784.82","10217.98"
1,"2011-12-23","8311.17","10217.98"
1,"2011-12-30","7699","10217.98"
1,"2012-01-06","7634.97","10217.98"
1,"2012-01-13","8111.01","10217.98"
1,"2012-01-20","9296.13","10217.98"
1,"2012-01-27","8229.77","10217.98"
1,"2012-02-03","9612.87","10217.98"
1,"2012-02-10","9587.35","10217.98"
1,"2012-02-17","9262.33","10217.98"
1,"2012-05-18","10199.01","10217.98"
1,"2012-06-22","9606.33","10217.98"
1,"2012-07-13","9318.1","10217.98"
1,"2012-09-21","9448.14","10217.98"
1,"2012-10-05","10037.09","10217.98"
1,"2012-10-12","8983.82","10217.98"
1,"2012-10-26","8658.41","10217.98"
1,"2010-11-26","9225.41","10217.98"
1,"2010-12-31","4987.81","10217.98"
1,"2011-02-11","9715.66","10217.98"
1,"2011-11-11","5913.03","10217.98"
1,"2011-11-18","4643.82","10217.98"
1,"2011-11-25","8400.69","10217.98"
1,"2011-12-02","5715.31","10217.98"
1,"2011-12-09","5024.36","10217.98"
1,"2011-12-16","4613.92","10217.98"
1,"2011-12-23","6233.78","10217.98"
1,"2011-12-30","5052.77","10217.98"
1,"2012-01-06","6258.08","10217.98"
1,"2012-01-13","5894.86","10217.98"
1,"2012-01-20","6400.8","10217.98"
1,"2012-01-27","6108.82","10217.98"
1,"2012-02-03","9873.73","10217.98"
1,"2012-10-19","9518.43","10217.98"
1,"2012-10-26","9934.63","10217.98"
1,"2010-09-10","9408.87","10217.98"
1,"2011-09-09","8209.44","10217.98"
1,"2011-11-11","7316.53","10217.98"
1,"2011-11-18","9558.5","10217.98"
1,"2011-12-02","9490.05","10217.98"
1,"2012-01-06","8086.43","10217.98"
1,"2012-01-13","9454.17","10217.98"
1,"2012-01-20","7968.85","10217.98"
1,"2012-01-27","7237.41","10217.98"
1,"2012-02-03","8128.57","10217.98"
1,"2012-02-24","9309.63","10217.98"
1,"2012-03-16","8523.56","10217.98"
1,"2012-03-23","7456.66","10217.98"
1,"2012-03-30","8433.01","10217.98"
1,"2012-04-06","8662.4","10217.98"
1,"2012-04-13","6936.35","10217.98"
1,"2012-04-20","8559.84","10217.98"
1,"2012-04-27","7868.25","10217.98"
1,"2012-05-04","9064.6","10217.98"
1,"2012-05-11","7964.29","10217.98"
1,"2012-05-18","9308.53","10217.98"
1,"2012-05-25","7323.66","10217.98"
1,"2012-06-01","7197.38","10217.98"
1,"2012-06-08","8589.19","10217.98"
1,"2012-06-15","6676.87","10217.98"
1,"2012-06-22","7468.47","10217.98"
1,"2012-06-29","8240.63","10217.98"
1,"2012-07-06","8053.74","10217.98"
1,"2012-07-13","7386.64","10217.98"
1,"2012-07-20","7195.7","10217.98"
1,"2012-07-27","8435.09","10217.98"
1,"2012-08-03","7809.58","10217.98"
1,"2012-08-10","8441.34","10217.98"
1,"2012-08-17","8710.04","10217.98"
1,"2012-08-24","9523.9","10217.98"
1,"2012-08-31","8158.73","10217.98"
1,"2012-09-07","8712.44","10217.98"
1,"2012-09-14","7075.73","10217.98"
1,"2012-09-21","7143.59","10217.98"
1,"2012-09-28","7155.75","10217.98"
1,"2012-10-05","9040.52","10217.98"
1,"2012-10-12","7908.36","10217.98"
1,"2012-10-19","7640.43","10217.98"
1,"2012-10-26","7640.92","10217.98"
1,"2010-09-10","246","10217.98"
1,"2011-09-09","149.24","10217.98"
1,"2011-11-11","10170.41","10217.98"
1,"2012-01-06","7018.32","10217.98"
1,"2012-01-13","1700.85","10217.98"
1,"2012-01-20","1468.65","10217.98"
1,"2012-01-27","1842.47","10217.98"
1,"2012-02-03","3558.71","10217.98"
1,"2012-02-24","1973.92","10217.98"
1,"2012-03-02","1316.04","10217.98"
1,"2012-03-09","1126.04","10217.98"
1,"2012-03-16","1630.41","10217.98"
1,"2012-03-23","2280.34","10217.98"
1,"2012-03-30","3667.66","10217.98"
1,"2012-04-13","5136.25","10217.98"
1,"2012-04-20","61.56","10217.98"
1,"2012-04-27","4.68","10217.98"
1,"2012-05-04","-1.27","10217.98"
1,"2012-05-11","4.58","10217.98"
1,"2012-05-25","1.97","10217.98"
1,"2012-06-01","0.2","10217.98"
1,"2012-06-08","4.97","10217.98"
1,"2012-07-20","2.91","10217.98"
1,"2012-08-17","9.97","10217.98"
1,"2012-08-24","4.97","10217.98"
1,"2012-08-31","4.97","10217.98"
1,"2012-09-07","4.97","10217.98"
1,"2012-09-14","649.09","10217.98"
1,"2012-09-21","3361","10217.98"
1,"2012-09-28","4867.7","10217.98"
1,"2012-10-05","7291.46","10217.98"
1,"2012-10-12","8171.79","10217.98"
1,"2010-02-12","1490.79","10217.98"
1,"2010-09-10","1772.53","10217.98"
1,"2010-11-26","1114.47","10217.98"
1,"2010-12-31","1234.64","10217.98"
1,"2011-02-11","1344.92","10217.98"
1,"2011-09-09","990.6","10217.98"
1,"2011-11-11","932.24","10217.98"
1,"2011-11-18","793.08","10217.98"
1,"2011-11-25","831.4","10217.98"
1,"2011-12-02","1414.06","10217.98"
1,"2011-12-09","1749.04","10217.98"
1,"2011-12-16","1381.01","10217.98"
1,"2011-12-23","1904.53","10217.98"
1,"2011-12-30","878.8","10217.98"
1,"2012-01-06","607.22","10217.98"
1,"2012-01-13","758.08","10217.98"
1,"2012-01-20","714.21","10217.98"
