"store_id","month","monthly_sales"
1,"2010-02-01","6307344.10"
1,"2010-03-01","5871293.98"
1,"2010-04-01","7422801.92"
1,"2010-05-01","5929938.64"
1,"2010-06-01","6084081.46"
1,"2010-07-01","7244483.04"
1,"2010-08-01","6075952.95"
1,"2010-09-01","5829793.92"
1,"2010-10-01","7150641.75"
1,"2010-11-01","6485547.06"
1,"2010-12-01","8876953.18"
1,"2011-01-01","5480050.97"
1,"2011-02-01","6399887.57"
1,"2011-03-01","6307375.48"
1,"2011-04-01","7689123.60"
1,"2011-05-01","6128431.80"
1,"2011-06-01","6194971.74"
1,"2011-07-01","7227654.31"
1,"2011-08-01","6144985.73"
1,"2011-09-01","7379542.34"
1,"2011-10-01","6072327.75"
1,"2011-11-01","6864972.83"
1,"2011-12-01","9032594.71"
1,"2012-01-01","5723690.52"
1,"2012-02-01","6798074.91"
1,"2012-03-01","8201997.40"
1,"2012-04-01","6511214.82"
1,"2012-05-01","6446962.46"
1,"2012-06-01","8020582.84"
1,"2012-07-01","6233946.67"
1,"2012-08-01","7897619.59"
1,"2012-09-01","6122381.52"
1,"2012-10-01","6245587.29"
2,"2010-02-01","8264347.77"
2,"2010-03-01","7677765.60"
2,"2010-04-01","9520276.09"
2,"2010-05-01","7777385.06"
2,"2010-06-01","8069642.74"
2,"2010-07-01","9316686.92"
2,"2010-08-01","7715686.75"
2,"2010-09-01","7262197.74"
2,"2010-10-01","9012420.11"
2,"2010-11-01","8471338.61"
2,"2010-12-01","12190116.80"
2,"2011-01-01","6949000.95"
2,"2011-02-01","8011783.74"
2,"2011-03-01","7529434.80"
2,"2011-04-01","9136076.69"
2,"2011-05-01","7162271.09"
2,"2011-06-01","7607607.16"
2,"2011-07-01","8929101.75"
2,"2011-08-01","7354707.02"
2,"2011-09-01","8568254.09"
2,"2011-10-01","7185412.12"
2,"2011-11-01","8397397.85"
2,"2011-12-01","11776834.16"
2,"2012-01-01","6916920.87"
2,"2012-02-01","8097113.78"
2,"2012-03-01","9514186.05"
2,"2012-04-01","7676382.55"
2,"2012-05-01","7755209.84"
2,"2012-06-01","9652012.49"
2,"2012-07-01","7449172.87"
2,"2012-08-01","9564712.06"
2,"2012-09-01","7289469.93"
2,"2012-10-01","7581514.93"
3,"2010-02-01","1711198.23"
3,"2010-03-01","1534680.59"
3,"2010-04-01","1895382.98"
3,"2010-05-01","1477534.20"
3,"2010-06-01","1473409.22"
3,"2010-07-01","1783914.22"
3,"2010-08-01","1456095.44"
3,"2010-09-01","1437426.45"
3,"2010-10-01","1796963.56"
3,"2010-11-01","1747923.75"
3,"2010-12-01","2430890.36"
3,"2011-01-01","1475045.38"
3,"2011-02-01","1699036.03"
3,"2011-03-01","1614630.99"
3,"2011-04-01","1884147.52"
3,"2011-05-01","1533308.53"
3,"2011-06-01","1575090.64"
3,"2011-07-01","1843561.95"
3,"2011-08-01","1536442.56"
3,"2011-09-01","1862692.56"
3,"2011-10-01","1556141.95"
3,"2011-11-01","1822971.63"
3,"2011-12-01","2413806.83"
3,"2012-01-01","1480953.54"
3,"2012-02-01","1792769.68"
3,"2012-03-01","2148086.50"
3,"2012-04-01","1753460.11"
3,"2012-05-01","1703712.98"
3,"2012-06-01","2163143.40"
3,"2012-07-01","1649972.35"
3,"2012-08-01","2028009.12"
3,"2012-09-01","1620024.00"
3,"2012-10-01","1684307.82"
4,"2010-02-01","8299040.36"
4,"2010-03-01","7525350.19"
4,"2010-04-01","9269170.71"
4,"2010-05-01","7637509.72"
4,"2010-06-01","7550298.11"
4,"2010-07-01","9237037.48"
4,"2010-08-01","7760274.34"
